id	name	equip_type_int	equip_type	equip_sub_type	equip_icon	spe	desc	baseAbility
weapon_1	创世亡命剑	0	weapon	sward	U_Sword01	1	只有被选中的勇士才能唤醒它真正的力量。	atk|11|1.8&&def|&&hp_max|&&hp_max_percent|&&atk_percent|&&def_percent|&&treate_hp_speed|&&crit|0.08|1.5&&critdmg|0.22|1.3&&bloc|&&
weapon_2	无名剑	0	weapon	sward	U_Sword02	1	没有人知道它的来历。	atk|11|1.8&&def|&&hp_max|&&hp_max_percent|&&atk_percent|&&def_percent|&&treate_hp_speed|&&crit|0.08|1.5&&critdmg|0.22|1.3&&bloc|&&
weapon_3	死亡之刃	0	weapon	saber	U_Sword04	1	万物生自守恒，源力破则失。	atk|11|1.8&&def|&&hp_max|&&hp_max_percent|&&atk_percent|&&def_percent|&&treate_hp_speed|&&crit|0.08|1.5&&critdmg|0.22|1.3&&bloc|&&
weapon_4	霜龙利刃	0	weapon	saber	U_Sword05	1	傲雪冷心绝，万念化冰华。	atk|11|1.8&&def|&&hp_max|&&hp_max_percent|&&atk_percent|&&def_percent|&&treate_hp_speed|&&crit|0.08|1.5&&critdmg|0.22|1.3&&bloc|&&
weapon_5	阿加雷斯血色巨剑	0	weapon	gun	U_Sword03	1	诚既勇兮又以武，终刚强兮不可凌。身既死兮神以灵，子魂魄兮为鬼雄。	atk|11|1.8&&def|&&hp_max|&&hp_max_percent|&&atk_percent|&&def_percent|&&treate_hp_speed|&&crit|0.08|1.5&&critdmg|0.22|1.3&&bloc|&&
weapon_6	神龙纳格林之刃	0	weapon	gun	U_Sword06	1	神龙纳格林的爪子锻造的利刃	atk|11|1.8&&def|&&hp_max|&&hp_max_percent|&&atk_percent|&&def_percent|&&treate_hp_speed|&&crit|0.08|1.5&&critdmg|0.22|1.3&&bloc|&&
weapon_7	大师大冒险家之剑	0	weapon	boxing	U_Sword07	1	大师大冒险家之剑	atk|11|1.8&&def|&&hp_max|&&hp_max_percent|&&atk_percent|&&def_percent|&&treate_hp_speed|&&crit|0.08|1.5&&critdmg|0.22|1.3&&bloc|&&
weapon_8	六翼天使武刃	0	weapon	boxing	U_Sword08	1	六翼天使武刃	atk|11|1.8&&def|&&hp_max|&&hp_max_percent|&&atk_percent|&&def_percent|&&treate_hp_speed|&&crit|0.08|1.5&&critdmg|0.22|1.3&&bloc|&&
weapon_9	数珠丸恒次	0	weapon	wand	U_Sword09	1	具体情况不明，传说为日莲上人所有	atk|11|1.8&&def|&&hp_max|&&hp_max_percent|&&atk_percent|&&def_percent|&&treate_hp_speed|&&crit|0.08|1.5&&critdmg|0.22|1.3&&bloc|&&
weapon_10	埃苏莱布斯军刀	0	weapon	bow	U_Sword10	1	埃苏莱布斯军刀	atk|11|1.8&&def|&&hp_max|&&hp_max_percent|&&atk_percent|&&def_percent|&&treate_hp_speed|&&crit|0.08|1.5&&critdmg|0.22|1.3&&bloc|&&
weapon_41	狱岩石太刀	0	weapon	sward	W_Sword013	0	用狱岩石制作的太刀，据说拥有让使用者潜力爆发的神秘力量	atk|11|1.8&&def|&&hp_max|&&hp_max_percent|&&atk_percent|&&def_percent|&&treate_hp_speed|&&crit|0.08|1.5&&critdmg|&&bloc|&&
weapon_42	战士长剑	0	weapon	sward	W_Sword014	0	六级战士使用的长剑	atk|11|1.8&&def|&&hp_max|&&hp_max_percent|&&atk_percent|&&def_percent|&&treate_hp_speed|&&crit|0.08|1.5&&critdmg|&&bloc|&&
weapon_43	赤柳血刃	0	weapon	saber	W_Sword015	0	似乎会给使用者提供生命气息	atk|11|1.8&&def|&&hp_max|&&hp_max_percent|&&atk_percent|&&def_percent|&&treate_hp_speed|&&crit|0.08|1.5&&critdmg|&&bloc|&&
weapon_44	普通长剑	0	weapon	saber	W_Sword016	0	朴实无华普通长剑，有的只有强力的攻击力	atk|11|1.8&&def|&&hp_max|&&hp_max_percent|&&atk_percent|&&def_percent|&&treate_hp_speed|&&crit|0.08|1.5&&critdmg|&&bloc|&&
