id	name	desc	action_type	action_params
normal_copy_get	主线	从副本中可以获取这些东西	open_ui_witharg	GetFromBossCopyPage
shop_channel_1	杂货铺	从杂货铺中可以获取	open_ui_witharg	ShopPage&&shopType=1
shop_channel_2	巧木枋	从巧木枋中可以获取	open_ui_witharg	ShopPage&&shopType=2
shop_channel_3	英雄商店	从英雄商店中可以获取	open_ui_witharg	ShopPage&&shopType=3
shop_channel_4	红尘商店	从红尘商店中可以获取	open_ui_witharg	ShopPage&&shopType=4
shop_channel_5	稀有商店	从稀有商店中可以获取	open_ui_witharg	ShopPage&&shopType=5
shop_channel_6	门派功法	从门派功法中可以获取	open_ui_witharg	ShopPage&&shopType=6
shop_channel_7	门派宝库	从门派宝库中可以获取	open_ui_witharg	ShopPage&&shopType=7
shop_channel_8	掌门宝库	从掌门宝库中可以获取	open_ui_witharg	ShopPage&&shopType=8
shop_channel_9	虚空宝库	从虚空宝库中可以获取	open_ui_witharg	ShopPage&&shopType=9
shop_channel_10	竞技宝库	从竞技宝库中可以获取	open_ui_witharg	ShopPage&&shopType=10
shop_channel_11	矿产坊	从矿产坊中可以获取	open_ui_witharg	ShopPage&&shopType=11
shilian_coin	铜钱试炼	从铜钱试炼中可以获取	open_ui_witharg	ChapterLayerPage&&openType=0
shilian_ruby	灵石试炼	从灵石试炼中可以获取	open_ui_witharg	ChapterLayerPage&&openType=1
shilian_exp	经验试炼	从经验试炼中可以获取	open_ui_witharg	ChapterLayerPage&&openType=2
shilian_follower	花卉试炼	从花卉试炼中可以获取	open_ui_witharg	ChapterLayerPage&&openType=3
shilian_baoshi	试炼宝石	从宝石试炼中可以获取	open_ui_witharg	ChapterLayerPage&&openType=4
girl_huanxiang	红颜招募	从红颜招募中获取	open_ui_witharg	ZhaoMuPage&&openType=1
hero_zhuanji	英雄招募	从英雄招募中获取	open_ui_witharg	ZhaoMuPage&&openType=0
tianyuan_channel	仙之天缘	从天缘挑战中获取	open_ui_witharg	ChapterTianYuanPage
worldboss_channel	世界首领	从世界boss挑战中获取	open_ui_witharg	WorldBossPage
tianjiboss_channel	天机之争	从天机boss挑战中获取	open_ui_witharg	TianjiBossPage
shilianfabao_channel	秘境遗迹	从秘境中获取	open_ui_witharg	ChapterPataDiffPage
menpaiboss_channel	掌门神兽	从掌门神兽中获取	open_ui_witharg	MenPaiZhangMenBossPage
kuafuboss_channel	虚空神兽	从虚空神兽中获取	open_ui_witharg	KuafuBossPage
dongfu_channel	洞府	从洞府中获取	open_main_sub_ui	ShowDongFuSub
