id	title	answers	questionAnswer	zuozhe
1	《仙之踏天》作者是谁？	洛奇&&简&&金庸&&古龙	1	洛奇
2	“青梅竹马”取自下列哪个典故	李白《长干行》&&白居易《长恨歌》 &&李煜《虞美人》&&李商隐《无题》	1	洛奇
3	五代包括：后梁、后唐、后晋、后汉、	东周&&后周&&西周&&南唐	2	洛奇
4	河姆渡和半坡原始居民过上定居生活的最注意原因是	农业生产的出现&&火的使用&&建造房屋&&使用陶器	1	中国古代史上
5	我国是世界最早种植蔬菜的国家。下列遗址的考古发现中可为这一论断提供证据的是	元谋人遗址&&北京人遗址&&河姆渡人遗址&&半坡人遗址	4	中国古代史上
6	相传，造出衣裳、舟车、宫室等，为后世的衣食住行奠定基础的“人文始祖”是	黄帝&&尧&&舜&&禹	1	中国古代史上
7	在古希腊神话中，众神经常参加人间战争。传说中国古代也有一场“风伯御风、雨神行雨”的战役。在这场战役中，炎帝、黄帝部落大败蚩尤部落。该战役发生在	牧野之战&&逐鹿&&长平&&城濮	2	中国古代史上
8	《仙之踏天》作者是谁？	洛奇&&简&&金庸&&古龙	1	中国古代史上
9	黄河流域是中华文明的发祥地之一。下列选项中最能体现该地区原始农耕文化成就是	种植粟&&种植水稻&&人工取火&&住干栏式房子	1	中国古代史上
10	西周为了巩固统治，实行“封建亲戚，以藩屏周”的政治制度。这种制度是	禅让制&&世袭制&&分封制&&郡县制	3	中国古代史上
11	战国时期有这样一户人家：老大因作战有功获得爵位；老二在家勤于耕作。被免除徭役；老三则被国君派往小县为吏。这户人家最有可能生活在	齐国&&楚国&&燕国&&秦国	4	中国古代史上
12	春秋战国时期。新旧制度更替，社会大变革的根本原因是	战争频繁&&诸侯争霸&&百家争鸣&&社会生产力发展，铁制农具的广泛使用和牛耕的推广	4	中国古代史上
13	某校七年级二班的同学在学习“商鞅变法”一课后表演了一出历史短剧。下列各项中错误的是	甲同学扮演秦孝公任命商鞅主持变法&&乙同学扮演生产粮食布帛多的人获得奖励&&丙同学扮演获得军功的大奖接受爵位&&扮演秦孝公的甲同学向全国颁旨：废除土地私有制	4	中国古代史上
14	经典诵读已成为当今中国人传承历史文化的重要方式。《三字经》中“瀛秦氏，始兼并。传二世。楚汉争。高祖兴，汉业建”所包含的朝代顺序是	秦——西汉&&西汉——东汉&&东汉——三国&&三国——西晋	1	中国古代史上
15	地方推行郡县制。小篆成为规范字，焚书坑儒稿专制。”这一顺口溜反映的是（）实行的统治政策	秦始皇&&汉武帝&&唐太宗&&宋太祖	1	中国古代史上
16	“惜秦皇汉武。略输文采，同宗宋祖，稍逊风骚……”毛泽东在《沁园春.雪》中提及了中国古代多位杰出君王。其中“汉武”最主要的功绩是	创立了中央集权&&结束割据，实现国家统一&&稳固大一统局面&&统治期间出现盛世局面	3	中国古代史上
17	汉并天下反应的是，下列哪个是错的	奖励耕战，变法图强&&罢黜百家，独尊儒术&&击败匈奴，安定边疆&&铸造钱币，兴修水利	1	中国古代史上
18	汉代开辟的“丝绸之路”是联系中外的纽带、沟通东方和西方的桥梁。“丝绸之路”的走向是	长安—葱岭—河西走廊—今新疆地区&&长安—今新疆地区—河西走廊—葱岭&&长安—河西走廊—今新疆地区—葱岭&&成都—云南—缅甸—印度—欧洲	3	中国古代史上
19	电视剧《三国演义》再创收视率新高。追忆三国历史，曹操领导了以下哪一次以少胜多的战役？	赤壁之战&&淝水之战&&巨鹿之战&&官渡之战	4	中国古代史上
20	曹操军队以少胜多、大败袁绍军队的官渡之战发生于哪一年？	200年&&208年&&220年&&222年	1	中国古代史上
21	东晋、南北朝时期，江南地区得意开发的最主要原因是	北方农民南迁带来的先进技术&&江南统治者调整统治政策&&南方战乱少，社会安定&&南方的自然条件优越	1	中国古代史上
22	下列各项不属于北魏孝文帝加快民族融合步伐、学习汉族先进文化措施的是	将都城从平城迁到洛阳&&要求鲜卑人穿汉服、用汉姓、学汉语&&提倡鲜卑人与汉人通婚&&推行茶文化，提倡以茶会友	4	中国古代史上
23	赤壁之战中曹军失败的主要原因是	孙刘联军拥有长江天堑&&曹军战线长，不习水战遭遇火攻&&曹操兵力不足&&孙刘联军力量强大	2	中国古代史上
24	独孤焘是北魏贵族。以下有关他的言行记录可能发生在孝文帝改革后的是	他上朝时必须穿宽大袖子的汉服&&在一切公私事务中，他的署名都是刘焘&&他曾跟随孝文帝到曲阜祭孔&&他的儿子娶了汉族高门女为妻	3	中国古代史上
25	东汉末年，割据一方的曹操没能做到	官渡之战击败袁绍&&基本上统一北方&&指挥赤壁之战&&废汉献帝建立魏国	4	中国古代史上
26	北魏孝文帝改革的重要意义是	加速了黄河流域民族大融合的进程&&学习汉族文化风俗&&借鉴汉族政治和经济制度&&加强对经济和官吏的管理	1	中国古代史上
27	商周时期，手工业技术已达到相当高的水平，其中最具代表性的是	纺织业&&制瓷业&&青铜制造业&&造纸业	3	中国古代史上
28	2010年在上海举办的世博会的会徽，它以中国汉字“世”字书法创意为形，凸显了上海世博会以人为本的理念。“以人为本，关注民生”是古往今来之国兴邦的基本经验。我国古代思想家中最早提出“仁”的学说，主张“爱人”、“为政以德”的是	老子&&孔子&&孟子&&墨子	2	中国古代史上
29	作家余秋雨曾经写道：“就在秦始皇下令修建长城的数十年前，四川成都平原上已经完成了一个了不起的工程……而它至今还为无数民众输送涓涓清流。”修建这个“了不起的工程”的是	禹&&李冰&&商鞅&&李春	2	中国古代史上
30	都江堰是我国古代著名的水利工程。下列关于都江堰的说法，正确的是	修建于隋唐时期&&由李冰主持建造&&使成都平原成为“天府之国”&&至今仍发挥着重要的作用	4	中国古代史上
31	我国第一部纪传体通史是	《春秋》&&《史记》&&《资治通鉴》&&《宋书》	2	中国古代史上
32	隋朝犹如一颗流星划过历史的天空，时间虽然短暂，却光芒四射。下列有关隋朝历史贡献的叙述，不正确的是	实现了南北重新统一&&开通了纵贯南北的大运河&&创设了科举制度&&开创了“贞观之治”的局面	4	中国古代史下
33	“北通郡涿之鱼商，南运江都之运输，其为利也博哉。”这反映出隋朝开凿的大运河	促进了经济交流&&促成了贞观之治&&巩固了封建统治&&结束了分裂局面	1	中国古代史下
34	小明将参加学校组织的“话说唐太宗政绩”知识擂台赛，他准备的下列史实中不正确的是	任用魏征等贤臣&&重视人才的培养&&轻徭薄赋，减轻农民负担&&创立科举制度	4	中国古代史下
35	武则天遗言立无字碑，由后人评说自己的功过。下面是4位同学根据掌握的有关历史知识为评价武则天撰写的碑文。你认为最恰当的应该是	我国历史上唯一的女皇帝，提高了妇女地位，开启历史先河&&重用人才，发展农业，社会经济继续发展，政启开元&&善于纳谏，开创了“贞观之治”&&励精图治，使唐朝进入了全盛时期	2	中国古代史下
36	孙中山说过：“现在各国的考试制度，差不多都是学英国的。穷流溯源，英国的考试制度，原来是从我们中国学过去的。”其历史依据是我国古代实行的	禅让制&&分封制&&郡县制&&科举制	4	中国古代史下
37	某导演想拍一部有关唐朝对外友好往来的电视专题片，他选的下列素材中与唐朝无关的是	鉴真东渡&&玄奘西游&&遣唐使来中国学习&&郑和下西洋	4	中国古代史下
38	假如你生活在唐朝，不可能看到的情景是	农民用曲辕犁耕地&&家中摆着唐三彩&&长安大明宫含元殿，气势宏伟，富丽堂皇&&长安城内有许多“瓦子”，十分热闹	4	中国古代史下
39	“大宋皇帝谨致誓书于大契丹皇帝阙下：共遵成信，虔奉欢盟，以风土之宜，助军旅之费，每岁以娟二十万匹，银一十万两……差人搬送至雄州交割。”下列史实中哪一项与此盟约无关	辽军攻宋澶州发生之战&&北宋应允给辽岁币&&以后辽宋之间保持和平局面&&宋辽以淮水到大散关一线为界	4	中国古代史下
40	中国经济重心南移是一个漫长的历史过程，最后完成于	东晋&&隋朝&&南宋&&明朝	3	中国古代史下
41	假如你生活在宋代，不可能看到的情景是	岳飞在郾城大败金军&&供住宿的邸店很多&&东京城内的市民在“瓦子”里娱乐&&许多读书人在书房里钻研八股文	4	中国古代史下
42	与北宋并立的西夏政权是下列哪一个民族建立的	党项族&&契丹族&&蒙古族&&回纥族	1	中国古代史下
43	下列各政权不曾经与南宋并立的是	辽&&金&&元&&西夏	3	中国古代史下
44	下面那一项不能提高装备属性？	镶嵌宝石&&共鸣装备&&强化装备&&升级装备	4	中国古代史下
45	丞相是皇帝的重要辅臣。废除这一官职的朝代是	隋朝&&唐朝&&明朝&&清朝	3	中国古代史下
46	郑和是我国古代伟大的航海家，他的足迹最远到达	菲律宾群岛&&波斯湾沿岸&&印度半岛&&非洲东海岸和红海沿岸	4	中国古代史下
47	郑成功跨海收复台湾，向入侵者严正指出：“台湾者，中国之土地也，久为贵国所踞，余既来索，则地当还我……”这里的“贵国”实际上指的是	葡萄牙殖民者&&英国殖民者&&荷兰殖民者&&日本殖民者	3	中国古代史下
48	抗击外来侵略者、维护国家统一是中华民族的优良传统。下列事件发生在清朝前期的是	戚继光抗倭&&郑成功收复台湾&&雅克萨之战&&义和团运动	2	中国古代史下
49	西藏自古以来就是中国的领土，清朝政府加强对西藏管理的措施是	设置西域都护&&设置安西都护府&&设置驻藏大臣&&设置伊犁将军	3	中国古代史下
50	当西方各国开始向工业文明迈进时，中华文明却日渐落伍。中国逐渐落伍的原因有	专制皇权高度加强&&农业仍然是经济的主体&&商品经济的发展&&实行闭关锁国政策	4	中国古代史下
51	被外国学者称为“中国17世纪工艺百科全书”的是	《九章算术》&&《齐民要术》&&《资治通鉴》&&《天工开物》	4	中国古代史下
52	郭沫若题写的对联“世上疮痍，诗中圣哲；民间疾苦，笔底波澜”所称颂的现实主义诗人是	李白&&李商隐&&白居易&&杜甫	4	中国古代史下
53	推背图是谁所作？	袁天罡&&李存峰&&魏征&&魏忠贤	3	中国古代史下
54	唐朝时，有很多诗人来到四川，称为“天下诗人皆入蜀”。建于成都浣花溪畔的一处著名纪念馆，是为了纪念哪一位著名诗人？	刘禹锡&&薛涛&&李白&&杜甫	4	中国古代史下
55	神话小说《西游记》取材于下列哪一历史史实？	张骞通西域&&鉴真东渡&&郑和下西洋&&玄奘西游	4	中国古代史下
56	下列中国古典小说的单节标题中出自《三国演义》的是	梁山伯义士尊晁盖&&林黛玉重建桃花社&&孙行者大闹黑风山&&曹操煮酒论英雄	4	中国古代史下
57	在《资治通鉴》中，你不可能看到的历史事件是	三国鼎立&&楚汉之争&&唐代的开元盛世&&明代的戚继光抗倭	4	中国古代史下
58	山东诸城是北宋著名画家张择端的故乡，他的旷世名作《清明上河图》体现的绘画风格是	山水画&&文人画&&风俗画&&花鸟画	3	中国古代史下
59	2011年6月1日，元代画家黄公望的《富春山居图》的两部分《剩山图》和《无用师卷》分别珍藏海峡两岸多年后实现历史性的合璧展览。下列画家及作品与黄公望生活在同一时代的是	顾恺之《洛神赋图》&&吴道子《送子天王图》&&张择端《清明上河图》&&赵孟頫《秋郊饮马图》	4	中国古代史下
60	亚非大陆是人类文明的摇篮，尼罗河流域的古埃及文明标志是	金字塔&&木乃伊&&种姓制度&&汉谟拉比法典	1	世界古代史
