id	title
1	挑战金银坊能获取大量铜钱，每日不要错过哦！
2	天帝灵库是获取灵石的好地方！
3	长生殿能获取大量经验
4	花祠能够获取大量花卉，用来提升红颜等级是个不错的选择
5	天晶洞能够获取大量宝石，玩家可每日前往挑战
6	道友可以对已经挑战完的区域进行快速战斗
7	装备共鸣提升的等级，在强化武器时会自动迁移，所以提早共鸣是个不错的选择
8	装备还原会返回所有镶嵌的宝石与共鸣消耗的材料，提早共鸣是个不错的选择
9	玩家提升等级、提升境界等级、提升阅历等级是获取修仙魂魄的主要途径
10	通过挑战天缘首领是获取武器的主要途径
11	武器制作书大部分通过挑战天缘首领获取
12	英雄商店可以购买部分英雄碎片、经验书等
13	红颜商店可以购买部分红颜碎片、花卉等
14	稀有商店可以购买部分武器制作书、如果人品不足以通过天缘首领刷出制作书，稀有商店是个不错的选择
15	初期可以选择在杂货店购买部分装备
16	门派功法商店可以购买到洞府修炼部分丹方、阵法、首饰、项链等
17	门派宝库可以购买部分英雄碎片、红颜碎片、装备共鸣材料等
18	提高门派地位，道友则可以获取更高的门派福利
19	在洞府中打坐、炼丹、聚灵等可以获取不同的收益
20	在装备中镶嵌宝石可以极大的提高装备属性
21	每日对已通关区域进行快速战斗时获取经验的有效途径
22	不同的英雄技能受属性英雄极大，道友要慎重分配点数
23	提升英雄星级可以解锁英雄新的技能
24	提升道友境界等级可以有效的提升道友的基础属性
25	提升道友的阅历等级可以有效的提升道的基础属性
26	提升红颜的等级可以对所有上阵英雄提升属性
27	洞府入梦可以加快洞府中修炼时间
28	合理搭配上阵英雄阵容，是打倒强大敌人的关键
29	加入QQ群：805390536，领取礼包福利。
30	点击人物头像可以查看人物详细信息
31	点击公告查看最新的公告信息
